p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.4899185839488946,0.826,0.443,0,0,Igfbp4
0,1.2581844677970508,0.62,0.324,0,0,Ly6c1
0,1.085867353848181,0.616,0.337,0,1,Ly6c1
0,1.1508352038299878,0.807,0.585,0,1,Jun
0,1.3836804450645084,0.626,0.446,0,1,Fos
0,6.608194282561901,1,0.113,0,10,Ccl5
0,2.0509304434249804,0.875,0.321,0,10,Tigit
0,1.734028576502995,0.949,0.409,0,10,Cxcr3
0,2.6955100323523267,0.689,0.158,0,10,Nkg7
0,2.131988605936606,0.706,0.235,0,10,Hip1
0,2.0468806186710946,0.904,0.458,0,10,Serpina3g
0,1.3981222044362478,0.857,0.417,0,10,Myo1f
0,2.3175064571954183,0.591,0.155,0,10,Ccr5
0,1.2297132721771171,0.811,0.38,0,10,S100a4
0,1.6243708883565176,0.845,0.417,0,10,Gzmb
0,1.165048113592773,0.858,0.456,0,10,Maf
0,1.5266533328553273,0.689,0.312,0,10,Snx9
0,1.704829027442454,0.74,0.368,0,10,Fgl2
0,1.2756788973756583,0.674,0.325,0,10,Ccr2
0,1.6842834616939377,0.727,0.385,0,10,Id2
0,2.6973781277417817,0.416,0.076,0,10,Asb2
0,1.9817582453427849,0.526,0.191,0,10,Lilrb4a
0,1.34283094488283,0.66,0.326,0,10,Sdcbp2
0,1.309921373445011,0.567,0.242,0,10,Alcam
0,2.066223368054552,0.422,0.105,0,10,Tbx21
0,2.5698330016794277,0.391,0.079,0,10,Pvrig
0,1.2171956289544363,0.953,0.643,0,10,Glrx
0,2.4178248417273327,0.4,0.091,0,10,Klrg1
0,1.395571091657885,0.735,0.426,0,10,Abcb1a
0,1.291116501420345,0.54,0.243,0,10,Prdm1
0,2.1653968173408202,0.385,0.11,0,10,Lilr4b
0,1.0491914988643232,0.835,0.561,0,10,Tnfrsf1b
0,1.515802401417167,0.463,0.192,0,10,Gpr55
0,1.5975354595414188,0.451,0.183,0,10,Podnl1
0,1.1390551663047948,0.989,0.741,0,10,S100a11
0,2.1274528795324676,0.314,0.083,0,10,Baiap3
0,2.27007205416676,0.297,0.081,0,10,Serpina3f
0,1.5790231803117127,0.318,0.104,0,10,Lag3
0,1.041309654466279,0.857,0.65,0,10,Arl5a
0,1.4565220952740405,0.983,0.781,0,10,Pglyrp1
0,2.350071191456732,0.245,0.048,0,10,Ifng
0,2.8317824776362,0.23,0.045,0,10,Cxcr6
0,2.426716762712518,0.23,0.048,0,10,Ccr3
0,2.3356732294825977,0.228,0.048,0,10,Il10
0,2.1498631993200465,0.248,0.072,0,10,Slamf7
0,1.926855596511571,0.229,0.061,0,10,Cybb
0,2.766321254750003,0.176,0.029,0,10,Ifngas1
0,2.7773233092856815,0.176,0.033,0,10,Mmp9
0,1.0456934139119751,0.96,0.823,0,10,Ctsd
0,3.4446912830734098,0.146,0.015,0,10,Armc2
0,3.1417388259181585,0.129,0.017,0,10,Plek
0,1.1450703070442456,0.99,0.879,0,10,Gimap7
0,3.736821642438083,0.072,0.005,0,10,Ccl4
0,5.528640750281627,0.057,0.001,0,10,Heatr9
0,4.087468280700537,0.06,0.005,0,10,Gzmk
0,4.750549532291766,0.043,0.002,0,10,Ccl3
0,1.3120089620822384,1,0.993,0,10,AW112010
0,2.185424635135438,0.875,0.535,0,11,Arid1b
